Hello world!
Spam,Spam,Spam,Spam,Spam,Baked Beans
Spam,Lovely Spam,Wonderful Spam
New Race Detected
Finisher,1,0,0,1,83
Finisher,2,0,0,2,42
Finisher,3,0,0,2,99
Finisher,4,0,0,3,58
Finisher,5,0,0,4,14
Race Finished
Average Lap Time,0,0,0,82
Fastest Lap Time,0,0,0,56
New Race Detected
Race Finished
Finisher,1,0,0,5,63
Finisher,2,0,0,6,10
Finisher,3,0,0,6,54
Finisher,4,0,0,6,98
Finisher,5,0,0,7,48
Finisher,6,0,0,8,7
Finisher,7,0,0,8,60
Finisher,8,0,0,9,4
Finisher,9,0,0,9,48
Finisher,10,0,0,9,95
Race Finished
Average Lap Time,0,0,0,99
Fastest Lap Time,0,0,0,44
New Race Detected
Race Finished
New Race Detected
Race Finished
New Race Detected
Finisher,1,0,0,4,67
Finisher,2,0,0,10,14
Race Finished
Average Lap Time,0,0,5,7
Fastest Lap Time,0,0,4,67
New Race Detected
Finisher,1,0,0,5,27
Finisher,2,0,0,11,17
Finisher,3,0,0,15,70
Finisher,4,0,0,19,95
Finisher,5,0,0,22,95
Finisher,6,0,0,27,14
Finisher,7,0,0,32,36
Finisher,8,0,0,33,36
Race Finished
Average Lap Time,0,0,4,17
Fastest Lap Time,0,0,1,0
New Race Detected
Race Finished
New Race Detected
Race Finished
New Race Detected
Finisher,1,0,0,6,74
Finisher,2,0,0,9,70
Finisher,3,0,0,11,42
Finisher,4,0,0,12,61
Finisher,5,0,0,13,14
Finisher,6,0,0,13,58
Finisher,7,0,0,14,24
Finisher,8,0,0,14,49
Finisher,9,0,0,14,74
Finisher,10,0,0,16,8
Finisher,11,0,0,16,30
Finisher,12,0,0,16,55
Finisher,13,0,0,18,14
Finisher,14,0,0,18,36
Finisher,15,0,0,18,61
Finisher,16,0,0,18,86
Finisher,17,0,0,19,11
Finisher,18,0,0,19,36
Finisher,19,0,0,21,2
Finisher,20,0,0,23,27
Race Finished
Average Lap Time,0,0,1,16
Fastest Lap Time,0,0,0,22
New Race Detected
Finisher,1,0,0,5,5
Finisher,2,0,2,59,45
Finisher,3,1,8,17,36
Finisher,4,1,8,17,77
Finisher,5,1,8,18,30
Finisher,6,1,8,19,14
Finisher,7,1,8,20,11
Finisher,8,1,8,20,58
Finisher,9,1,8,21,5
Finisher,10,1,8,21,52
Finisher,11,1,8,21,95
Finisher,12,1,8,22,39
Finisher,13,1,8,22,83
Finisher,14,1,8,23,24
Finisher,15,1,8,23,83
Finisher,16,1,8,24,17
Finisher,17,1,8,24,52
Finisher,18,1,8,24,83
Finisher,19,1,8,25,11
Finisher,20,1,8,25,42
Finisher,21,1,8,26,27
Finisher,22,1,8,26,86
Finisher,23,1,8,27,77
Finisher,24,1,8,28,8
Finisher,25,1,8,28,45
Finisher,26,1,8,28,74
Finisher,27,1,8,29,24
Finisher,28,1,8,29,55
Finisher,29,1,8,29,83
Finisher,30,1,8,30,14
Finisher,31,1,8,30,52
Finisher,32,1,8,30,99
Finisher,33,1,8,31,64
Finisher,34,1,8,31,95
Finisher,35,1,8,32,30
Finisher,36,1,8,32,58
Finisher,37,1,8,32,89
Finisher,38,1,8,33,24
Finisher,39,1,8,33,61
Finisher,40,1,8,33,89
Finisher,41,1,8,34,24
Finisher,42,1,8,34,55
Finisher,43,1,8,35,11
Finisher,44,1,8,35,58
Finisher,45,1,8,35,89
Finisher,46,1,8,36,21
Finisher,47,1,8,36,58
Finisher,48,1,8,37,8
Finisher,49,1,8,37,39
Finisher,50,1,8,37,77
Finisher,51,1,8,38,33
Finisher,52,1,8,38,61
Finisher,53,1,8,39,5
Finisher,54,1,8,39,39
Finisher,55,1,8,39,74
Finisher,56,1,8,40,2
Finisher,57,1,8,40,42
Finisher,58,1,8,40,77
Finisher,59,1,8,41,14
Finisher,60,1,8,41,64
Finisher,61,1,8,42,2
Finisher,62,1,8,42,89
Finisher,63,1,8,43,61
Finisher,64,1,8,44,5
Finisher,65,1,8,44,36
Finisher,66,1,8,44,64
Finisher,67,1,8,44,89
Finisher,68,1,8,45,17
Finisher,69,1,8,45,58
Finisher,70,1,8,46,14
Finisher,71,1,8,46,58
Finisher,72,1,8,46,95
Finisher,73,1,8,47,80
Finisher,74,1,8,48,14
Finisher,75,1,8,48,52
Finisher,76,1,8,48,83
Finisher,77,1,8,49,24
Finisher,78,1,8,49,55
Finisher,79,1,8,50,8
Finisher,80,1,8,50,61
Finisher,81,1,8,50,95
Finisher,82,1,8,51,30
Finisher,83,1,8,51,77
Finisher,84,1,8,52,39
Finisher,85,1,8,52,80
Finisher,86,1,8,53,33
Finisher,87,1,8,54,21
Finisher,88,1,8,55,83
Finisher,89,1,8,56,24
Finisher,90,1,9,13,14
Finisher,91,1,9,13,45
Finisher,92,1,9,14,5
Finisher,93,1,9,14,49
Finisher,94,1,9,15,8
Finisher,95,1,9,22,8
Finisher,96,1,9,22,52
Finisher,97,1,9,22,89
Finisher,98,1,9,23,27
Finisher,99,1,9,23,64
Finisher,100,1,9,24,36
Finisher,101,1,9,25,33
Finisher,102,1,9,25,67
Finisher,103,1,9,26,8
Finisher,104,1,9,26,77
Finisher,105,1,9,27,49
Race Finished
Average Lap Time,0,0,39,69
Fastest Lap Time,0,0,0,25
New Race Detected
Finisher,1,0,0,1,83
Finisher,2,0,0,2,42
Finisher,3,0,0,2,99
Finisher,4,0,0,3,58
Finisher,5,0,0,4,14
Race Finished
Average Lap Time,0,0,0,82
Fastest Lap Time,0,0,0,56
New Race Detected
Race Finished
Finisher,1,0,0,5,63
Finisher,2,0,0,6,10
Finisher,3,0,0,6,54
Finisher,4,0,0,6,98
Finisher,5,0,0,7,48
Finisher,6,0,0,8,7
Finisher,7,0,0,8,60
Finisher,8,0,0,9,4
Finisher,9,0,0,9,48
Finisher,10,0,0,9,95
Race Finished
Average Lap Time,0,0,0,99
Fastest Lap Time,0,0,0,44
New Race Detected
Race Finished
New Race Detected
Race Finished
New Race Detected
Finisher,1,0,0,4,67
Finisher,2,0,0,10,14
Race Finished
Average Lap Time,0,0,5,7
Fastest Lap Time,0,0,4,67
New Race Detected
Finisher,1,0,0,5,27
Finisher,2,0,0,11,17
Finisher,3,0,0,15,70
Finisher,4,0,0,19,95
Finisher,5,0,0,22,95
Finisher,6,0,0,27,14
Finisher,7,0,0,32,36
Finisher,8,0,0,33,36
Race Finished
Average Lap Time,0,0,4,17
Fastest Lap Time,0,0,1,0
New Race Detected
Race Finished
New Race Detected
Race Finished
New Race Detected
